,CODE,ESTACION,LON,LAT,ALT
0,X47E0D438,ALAMOR,-80.39788,-4.48047,116.0
1,X47E09732,LA ARDILLA,-80.39014,-4.48956,116.0
2,X472606FA,AYABACA,-79.71077,-4.63776,2633.0
3,X47E01126,CABO INGA H,-80.39898,-3.97972,143.0
4,X472F00A6,CABO INGA M,-80.40182,-3.97594,228.0
5,X472EF2D8,CAMPAMENTO SEDE,-80.42964,-3.55117,12.0
6,X472F86B2,CANCHAQUE,-79.60535,-5.40058,1270.0
7,X472F13D0,CA?AVERAL,-80.65058,-3.93911,144.0
8,X472FB328,CHALACO,-79.83,-5.03389,1791.0
9,X47E0E1A2,CHIPILLICO,-80.11716,-4.71357,340.0
10,X472F6540,CHULUCANAS,-80.16954,-5.10844,89.0
11,X47E037CA,CORRAL DEL MEDIO,-79.89136,-5.18858,207.0
12,X4724B080,EL CIRUELO,-80.16707,-4.29909,243.0
13,X47E9177A,EL CIRUELO ANA,-80.16704,-4.29905,243.0
14,X4724A3F6,EL TIGRE,-80.45689,-3.7687,44.0
15,X472F50DA,EL VIRREY,-79.98416,-5.53579,206.0
16,X47E074C0,HACIENDA BARRIOS,-79.69924,-5.28985,324.0
17,X47E281B0,HUALCUY,-79.61317,-4.74767,1970.0
18,X472FE354,HUANCABAMBA,-79.45399,-5.24681,1954.0
19,X472761E6,HUARMACA,-79.52542,-5.56599,2178.0
20,X472F43AC,HUASIMO,-80.505,-3.99945,602.0
21,X47E0F2D4,LAGARTERA,-80.06956,-4.7285,420.0
22,X472FD6CE,LANCONES,-80.54717,-4.64288,133.0
23,X47E0C74E,PUENTE MACARA,-79.96412,-4.39338,385.0
24,X472FA05E,MALACASI,-79.85794,-5.33977,153.0
25,X472F353C,MATAPALO,-80.19833,-3.68278,70.0
26,X472F7636,MORROPON,-79.97107,-5.19465,128.0
27,X472FC5B8,PAIMAS,-79.94584,-4.63439,609.0
28,X47E0415A,PUENTE ?ACARA,-80.17296,-5.1128,91.0
29,X4724C610,PUENTE ?ACARA ANA,-80.17145,-5.11137,89.0
30,X47E0B1DE,PUENTE SIMON RODRIGUEZ,-81.02038,-4.87999,12.0
31,X47E024BC,PUENTE TUMBES,-80.4609,-3.5709,10.0
