CODE,Unnamed: 0,ESTACION,LON,LAT,ALT,Codigo,Umbral1,Umbral2,min1,min2
X47E0D438,0.0,ALAMOR,-80.39788,-4.48047,116.0,47E0D438,9.3,10.2,0.0,0.0
X47E09732,1.0,LA ARDILLA,-80.39014,-4.48956,116.0,47E09732,3.1,16.9,0.0,0.0
X472606FA,2.0,AYABACA,-79.71077,-4.63776,2633.0,472606FA,5.6,11.5,0.0,0.0
X47E01126,3.0,CABO INGA H,-80.39898,-3.97972,143.0,47E01126,4.4,11.9,0.0,0.0
X472F00A6,4.0,CABO INGA M,-80.40182,-3.97594,228.0,472F00A6,5.0,15.8,0.0,0.0
X472EF2D8,5.0,CAMPAMENTO SEDE,-80.42964,-3.55117,12.0,472EF2D8,0.4,7.0,0.0,0.0
X472F86B2,6.0,CANCHAQUE,-79.60535,-5.40058,1270.0,472F86B2,2.8,14.7,0.0,0.0
X472F13D0,7.0,CA?AVERAL,-80.65058,-3.93911,144.0,472F13D0,1.4,6.8,0.0,0.0
X472FB328,8.0,CHALACO,-79.83,-5.03389,1791.0,472FB328,4.9,9.0,0.0,0.0
X47E0E1A2,9.0,CHIPILLICO,-80.11716,-4.71357,340.0,47E0E1A2,1.4,14.7,0.0,0.0
X472F6540,10.0,CHULUCANAS,-80.16954,-5.10844,89.0,472F6540,3.5,11.8,0.0,0.0
X47E037CA,11.0,CORRAL DEL MEDIO,-79.89136,-5.18858,207.0,,,,,
X4724B080,12.0,EL CIRUELO,-80.16707,-4.29909,243.0,4724B080,1.4,7.4,0.0,0.0
X47E9177A,13.0,EL CIRUELO ANA,-80.16704,-4.29905,243.0,47E9177A,2.2,11.2,0.0,0.0
X4724A3F6,14.0,EL TIGRE,-80.45689,-3.7687,44.0,4724A3F6,0.3,2.2,0.0,0.0
X472F50DA,15.0,EL VIRREY,-79.98416,-5.53579,206.0,472F50DA,2.5,22.3,0.0,0.0
X47E074C0,16.0,HACIENDA BARRIOS,-79.69924,-5.28985,324.0,47E074C0,1.8,8.9,0.0,0.0
X47E281B0,17.0,HUALCUY,-79.61317,-4.74767,1970.0,47E281B0,1.7,8.7,0.0,0.0
X472FE354,18.0,HUANCABAMBA,-79.45399,-5.24681,1954.0,472FE354,0.7,4.0,0.0,0.0
X472761E6,19.0,HUARMACA,-79.52542,-5.56599,2178.0,,,,,
X472F43AC,20.0,HUASIMO,-80.505,-3.99945,602.0,472F43AC,2.7,12.8,0.0,0.0
X47E0F2D4,21.0,LAGARTERA,-80.06956,-4.7285,420.0,,,,,
X472FD6CE,22.0,LANCONES,-80.54717,-4.64288,133.0,472FD6CE,1.2,9.2,0.0,0.0
X47E0C74E,23.0,PUENTE MACARA,-79.96412,-4.39338,385.0,47E0C74E,0.4,1.3,0.0,0.0
X472FA05E,24.0,MALACASI,-79.85794,-5.33977,153.0,472FA05E,4.7,16.3,0.0,0.0
X472F353C,25.0,MATAPALO,-80.19833,-3.68278,70.0,472F353C,3.0,12.5,0.0,0.0
X472F7636,26.0,MORROPON,-79.97107,-5.19465,128.0,472F7636,3.1,13.8,0.0,0.0
X472FC5B8,27.0,PAIMAS,-79.94584,-4.63439,609.0,472FC5B8,1.6,12.9,0.0,0.0
X47E0415A,28.0,PUENTE ?ACARA,-80.17296,-5.1128,91.0,,,,,
X4724C610,29.0,PUENTE ?ACARA ANA,-80.17145,-5.11137,89.0,,,,,
